Date,Time,DataID,Temp(C),Pressure(mmHg),DO(%),DO(mg/L),SPC(uS/cm),SAL(ppt),pH,NO3-N(mg/L),Timestamp,Flow,Depth,Latitude,NS,Longitude,WE
2023-06-29,14:02:00,specialfjord,7.2,755.2,108.8,11.29,37114.0,23.3,8.26,,20230629T140200,2.16,9.27,6204.45978,N,04851.58522,W
2023-06-29,14:02:30,specialfjord,7.2,755.2,108.6,11.28,36863.0,23.1,8.26,,20230629T140230,2.16,9.43,6204.45978,N,04851.58675,W
2023-06-29,14:03:00,specialfjord,7.2,755.2,108.6,11.29,36491.0,22.8,8.27,,20230629T140300,2.16,9.55,6204.45901,N,04851.58867,W
2023-06-29,14:03:30,specialfjord,7.5,755.1,108.2,11.36,33090.0,20.5,8.29,,20230629T140330,2.16,9.38,6204.45939,N,04851.58925,W
2023-06-29,14:04:00,specialfjord,7.6,755.1,107.4,11.25,32839.0,20.4,8.27,,20230629T140400,2.3,9.3,6204.45939,N,04851.59021,W
2023-06-29,14:04:30,specialfjord,7.5,755.2,107.7,11.25,33829.0,21.0,8.26,,20230629T140430,2.03,9.27,6204.45939,N,04851.59117,W
2023-06-29,14:05:00,specialfjord,7.4,755.2,107.8,11.23,34842.0,21.7,8.26,,20230629T140500,2.3,9.36,6204.45901,N,04851.59232,W
2023-06-29,14:05:30,specialfjord,7.4,755.2,107.8,11.21,35651.0,22.3,8.25,,20230629T140530,2.16,9.43,6204.45862,N,04851.59232,W
2023-06-29,14:06:00,specialfjord,7.4,755.1,108.2,11.25,35721.0,22.3,8.25,,20230629T140600,2.16,9.07,6204.45939,N,04851.5904,W
2023-06-29,14:06:30,specialfjord,7.7,755.0,107.1,11.33,29949.0,18.4,8.29,,20230629T140630,2.3,8.74,6204.46054,N,04851.5881,W
2023-06-29,14:07:00,specialfjord,7.8,755.2,106.6,11.2,30908.0,19.1,8.27,,20230629T140700,2.16,9.03,6204.46054,N,04851.58656,W
2023-06-29,14:07:30,specialfjord,7.6,755.2,107.2,11.2,33244.0,20.6,8.26,,20230629T140730,2.3,8.96,6204.46054,N,04851.58579,W
2023-06-29,14:08:00,specialfjord,7.4,755.1,107.8,11.2,35486.0,22.2,8.25,,20230629T140800,2.3,8.73,6204.46131,N,04851.58464,W
2023-06-29,14:08:30,specialfjord,7.3,755.1,108.0,11.19,36561.0,22.9,8.25,,20230629T140830,2.3,8.77,6204.46026,N,04851.58319,W
2023-06-29,14:09:00,specialfjord,7.2,755.1,108.0,11.19,37197.0,23.3,8.25,,20230629T140900,2.16,8.77,6204.46016,N,04851.58176,W
2023-06-29,14:09:30,specialfjord,7.2,755.1,108.0,11.19,37288.0,23.4,8.25,,20230629T140930,2.16,8.71,6204.46054,N,04851.58042,W
2023-06-29,14:10:00,specialfjord,7.3,755.2,108.0,11.21,36704.0,23.0,8.26,,20230629T141000,2.16,8.74,6204.46054,N,04851.57907,W
2023-06-29,14:10:30,specialfjord,7.3,755.2,107.7,11.17,36642.0,22.9,8.26,,20230629T141030,2.16,8.72,6204.46054,N,04851.57907,W
2023-06-29,14:11:00,specialfjord,7.3,755.2,108.0,11.19,36914.0,23.1,8.26,,20230629T141100,2.16,8.55,6204.46093,N,04851.57907,W
2023-06-29,14:11:30,specialfjord,7.3,755.2,107.8,11.19,36551.0,22.9,8.26,,20230629T141130,2.16,8.22,6204.46093,N,04851.57907,W
2023-06-29,14:12:00,specialfjord,7.4,755.2,107.6,11.23,34681.0,21.6,8.27,,20230629T141200,2.16,8.73,6204.46054,N,04851.57907,W
2023-06-29,14:12:30,specialfjord,7.5,755.2,108.1,11.3,33682.0,20.9,8.24,,20230629T141230,2.16,8.58,6204.46054,N,04851.57965,W
2023-06-29,14:13:00,specialfjord,7.7,755.3,104.5,11.0,30925.0,19.1,8.29,,20230629T141300,2.16,8.66,6204.46093,N,04851.57965,W
2023-06-29,14:13:30,specialfjord,7.6,755.3,103.3,10.8,32942.0,20.4,8.27,,20230629T141330,2.16,8.85,6204.46093,N,04851.57965,W
2023-06-29,14:14:00,specialfjord,7.5,755.3,102.6,10.72,33805.0,21.0,8.27,,20230629T141400,2.16,8.81,6204.46054,N,04851.58003,W
2023-06-29,14:14:30,specialfjord,7.5,755.2,102.0,10.65,33872.0,21.1,8.27,,20230629T141430,2.3,8.8,6204.46016,N,04851.58061,W
2023-06-29,14:15:00,specialfjord,7.5,755.3,101.7,10.59,34882.0,21.7,8.27,,20230629T141500,2.3,8.78,6204.45978,N,04851.58061,W
2023-06-29,14:15:30,specialfjord,7.4,755.3,102.0,10.6,35786.0,22.4,8.26,,20230629T141530,2.16,8.73,6204.46054,N,04851.57965,W
2023-06-29,14:16:00,specialfjord,7.3,755.3,102.1,10.61,36013.0,22.5,8.26,,20230629T141600,2.16,8.35,6204.46054,N,04851.57792,W
2023-06-29,14:16:30,specialfjord,7.4,755.2,101.4,10.53,35895.0,22.4,8.26,,20230629T141630,2.16,7.96,6204.45901,N,04851.57024,W
2023-06-29,14:17:00,specialfjord,7.3,755.1,100.6,10.44,36392.0,22.8,8.26,,20230629T141700,2.16,9.27,6204.45632,N,04851.56026,W
2023-06-29,14:17:30,specialfjord,7.4,755.1,101.1,10.56,34744.0,21.6,8.27,,20230629T141730,2.16,10.5,6204.45325,N,04851.54816,W
2023-06-29,14:18:00,specialfjord,7.8,755.2,100.6,10.69,28362.0,17.4,8.31,,20230629T141800,2.16,11.52,6204.44979,N,04851.5399,W
2023-06-29,14:18:30,specialfjord,8.2,755.1,99.4,10.59,25623.0,15.6,8.31,,20230629T141830,2.16,11.57,6204.44749,N,04851.53414,W
2023-06-29,14:19:00,specialfjord,8.3,755.1,99.2,10.56,25068.0,15.2,8.3,,20230629T141900,2.16,12.45,6204.44595,N,04851.53088,W
2023-06-29,14:19:30,specialfjord,8.3,755.2,98.8,10.45,26736.0,16.3,8.28,,20230629T141930,2.16,12.96,6204.44403,N,04851.52934,W
2023-06-29,14:20:00,specialfjord,8.2,755.2,98.9,10.43,27850.0,17.0,8.27,,20230629T142000,2.03,13.08,6204.44365,N,04851.528,W
2023-06-29,14:20:30,specialfjord,8.2,755.3,99.4,10.5,27676.0,16.9,8.27,,20230629T142030,2.3,13.58,6204.44211,N,04851.52512,W
2023-06-29,14:21:00,specialfjord,8.2,755.2,98.6,10.44,27055.0,16.5,8.27,,20230629T142100,2.16,14.39,6204.43981,N,04851.52512,W
2023-06-29,14:21:30,specialfjord,8.3,755.2,99.0,10.48,26493.0,16.1,8.27,,20230629T142130,2.3,14.79,6204.4375,N,04851.52589,W
2023-06-29,14:22:00,specialfjord,8.3,755.2,98.6,10.44,26223.0,16.0,8.27,,20230629T142200,2.16,15.1,6204.43635,N,04851.52454,W
2023-06-29,14:22:30,specialfjord,8.4,755.3,98.6,10.45,26128.0,15.9,8.27,,20230629T142230,2.16,15.23,6204.43558,N,04851.52435,W
2023-06-29,14:23:00,specialfjord,8.4,755.2,98.7,10.45,26110.0,15.9,8.27,,20230629T142300,2.16,15.22,6204.4352,N,04851.5257,W
2023-06-29,14:23:30,specialfjord,8.4,755.3,98.4,10.41,26442.0,16.1,8.27,,20230629T142330,2.16,14.97,6204.43597,N,04851.5255,W
2023-06-29,14:24:00,specialfjord,8.3,755.3,98.2,10.37,26867.0,16.4,8.27,,20230629T142400,2.03,14.85,6204.43635,N,04851.52454,W
2023-06-29,14:24:30,specialfjord,8.3,755.3,98.6,10.39,27742.0,17.0,8.24,,20230629T142430,2.3,15,6204.4375,N,04851.52762,W
2023-06-29,14:25:00,specialfjord,8.2,755.5,98.6,10.35,29169.0,17.9,8.25,,20230629T142500,2.16,15.79,6204.43635,N,04851.54125,W
2023-06-29,14:25:30,specialfjord,8.1,755.5,98.3,10.33,28985.0,17.8,8.26,,20230629T142530,2.16,16.56,6204.43482,N,04851.55354,W
2023-06-29,14:26:00,specialfjord,8.2,755.5,98.0,10.34,28062.0,17.2,8.27,,20230629T142600,2.16,17.17,6204.43443,N,04851.5616,W
